
----
./data/060618/rapid-response-007_reports/chrf_rna_0002_s2.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
6	4	8	Bacteria	590	2.6	0.4	3.0	0.4	Salmonella enterica	9.1	5.5	1.0	5.5	1.0	Salmonella enterica	16.0	Salmonella enterica	0.0015234613040828765	0.04858657243816254
7	15	6	Bacteria	286	4.4	-0.2	18.8	-0.3	Pseudomonas aeruginosa	2.6	0.2	-0.3	4.4	-0.3	Pseudomonas putida	0.1	Pseudomonas aeruginosa	0.009547024172252692	0.03886925795053004
8	6	12	Bacteria	40323	1.1	-0.3	1.4	-0.4	Stenotrophomonas maltophilia	0.7	3.3	-0.3	4.2	-0.3	Stenotrophomonas maltophilia	1.5	Stenotrophomonas maltophilia	0.000710948608572009	0.037102473498233215
9	8	47	Bacteria	222	0.1	-0.3	0.1	-0.3	Achromobacter xylosoxidans	0.1	3.1	-0.3	3.3	-0.3	Achromobacter xylosoxidans	0.1	Achromobacter xylosoxidans	5.078204346942922e-05	0.029151943462897525
10	19	5	Bacteria	33882	4.4	-0.2	8.5	-0.3	Microbacterium paraoxydans	0.4	0.1	-0.3	2.6	-0.4	Microbacterium aurum	0.1	Microbacterium paraoxydans	0.004316473694901483	0.022968197879858657
11	9	11	Bacteria	547	1.3	-0.1	3.0	-0.2	Enterobacter cloacae	3.2	2.1	-0.1	2.2	-0.2	Enterobacter cloacae	0.3	Enterobacter cloacae	0.0015234613040828765	0.01943462897526502
12	10	2	Bacteria	544	70.9	16.4	85.8	10.9	Citrobacter freundii	3.5	1.8	0.1	1.9	-0.1	Citrobacter freundii	0.2	Citrobacter freundii	0.04357099329677026	0.016784452296819786
13	12	875	Viruses	10509	0.0	0.0	0.0	0.0	0	0.0	0.4	0.5	0.5	0.7	Human mastadenovirus C	0.2	Human mastadenovirus C	0.0	0.00441696113074205
14	20	36	Bacteria	662	0.1	-0.1	0.2	-0.2	Vibrio cholerae	6.6	0.1	0.3	0.4	-0.1	Vibrio parahaemolyticus	12.5	Vibrio parahaemolyticus	0.00010156408693885843	0.0035335689045936395
15	13	10	Bacteria	283	1.7	-0.2	1.7	-0.2	Comamonas testosteroni	1.0	0.2	-0.2	0.3	-0.2	Comamonas testosteroni	0.1	Comamonas testosteroni	0.0008632947389802966	0.0026501766784452294
16	14	23	Bacteria	613	0.2	-0.2	0.5	-0.4	Serratia marcescens	0.4	0.2	-0.3	0.3	-0.4	Serratia liquefaciens	0.1	Serratia marcescens	0.00025391021734714607	0.0026501766784452294
17	18	52	Bacteria	586	0.1	0.9	0.1	0.3	Providencia stuartii	0.4	0.1	2.0	0.2	0.8	Providencia stuartii	0.8	Providencia stuartii	5.078204346942922e-05	0.0017667844522968198
18	16	881	Viruses	140568	0.0	0.0	0.0	0.0	0	0.0	0.1	100.0	0.1	33.7	Garlic virus A	0.1	Garlic virus A	0.0	0.0008833922261484099
19	25	729	Viruses	186765	0.0	100.0	0.0	-0.1	Enterobacteria phage HK446	0.0	0.0	0.0	0.0	0.0	0	0.0	Enterobacteria phage HK446	0.0	0.0
20	29	856	Viruses	1511911	0.0	100.0	0.0	100.0	Primate tetraparvovirus 1	0.0	0.0	0.0	0.0	0.0	0	0.0	Primate tetraparvovirus 1	0.0	0.0
21	28	839	Viruses	687332	0.0	-0.1	0.0	-0.1	TTV-like mini virus	0.0	0.0	0.0	0.0	0.0	0	0.0	TTV-like mini virus	0.0	0.0
22	27	822	Viruses	1921527	0.0	100.0	0.0	100.0	Aeromonas virus Aes12	0.0	0.0	0.0	0.0	0.0	0	0.0	Aeromonas virus Aes12	0.0	0.0
23	26	799	Viruses	477967	0.0	-100.0	0.0	-100.0	Pantoea virus Limezero	0.0	0.0	0.0	0.0	0.0	0	0.0	Pantoea virus Limezero	0.0	0.0
24	21	28	Viruses	95341	0.1	3.7	0.1	3.7	Sapporo virus	0.1	0.0	0.0	0.0	0.0	0	0.0	Sapporo virus	5.078204346942922e-05	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0050_s50.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	6	13	Bacteria	407	0.8	-0.3	3.3	-0.3	Methylobacterium extorquens	0.3	8.0	-0.2	136.6	-0.2	Methylobacterium radiotolerans	0.2	Methylobacterium radiotolerans	0.02789518174133559	0.20294161343039663
1	9	11	Bacteria	13687	0.8	-0.3	4.0	-0.2	Sphingomonas melonis	0.2	5.4	0.3	108.7	-0.1	Sphingomonas sanxanigenens	0.1	Sphingomonas sanxanigenens	0.0338123415046492	0.1614916060020799
2	3	5	Bacteria	1269	2.7	-0.2	2.8	-0.2	Micrococcus luteus	1.3	35.2	0.0	94.4	0.3	Micrococcus luteus	0.5	Micrococcus luteus	0.02366863905325444	0.1402466201158817
3	7	24	Bacteria	469	0.6	-0.2	1.1	-0.1	Acinetobacter johnsonii	0.1	7.4	-0.2	63.3	-0.1	Acinetobacter johnsonii	0.7	Acinetobacter johnsonii	0.00929839391377853	0.09404248997177238
4	1	1	Bacteria	1912216	18.6	-0.2	18.8	-0.2	Cutibacterium acnes	6.5	53.7	-0.0	60.1	-0.0	Cutibacterium acnes	148.1	Cutibacterium acnes	0.15891800507185125	0.08928836725597977
5	2	79	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.3	44.7	-0.0	50.9	0.0	Escherichia coli	76.8	Escherichia coli	0.0016906170752324602	0.07562026444807605
6	5	0	Bacteria	1301	57.2	-0.1	63.3	-0.2	Streptococcus pneumoniae	31.1	16.4	-0.1	43.8	-0.2	Streptococcus pneumoniae	17.6	Streptococcus pneumoniae	0.5350803043110736	0.06507205467241121
7	4	21	Bacteria	57499	0.6	-0.2	0.6	-0.2	Kytococcus sedentarius	0.2	20.6	2.3	28.9	3.3	Kytococcus sedentarius	0.2	Kytococcus sedentarius	0.00507185122569738	0.04293567077700192
8	12	9	Bacteria	286	1.6	-0.4	5.8	-0.3	Pseudomonas stutzeri	0.6	3.1	-0.0	20.5	-0.3	Pseudomonas antarctica	0.1	Pseudomonas antarctica	0.04902789518174134	0.030456098648046347
9	8	22	Bacteria	475	0.6	-0.2	0.7	-0.2	Moraxella osloensis	0.2	5.8	-0.2	13.4	-0.1	Moraxella osloensis	0.1	Moraxella osloensis	0.00591715976331361	0.019907888872381516
10	10	6	Bacteria	40323	2.4	-0.3	3.1	-0.3	Stenotrophomonas maltophilia	1.3	4.6	-0.3	6.4	-0.3	Stenotrophomonas maltophilia	2.1	Stenotrophomonas maltophilia	0.02620456466610313	0.009508245431585202
11	16	91	Bacteria	32207	0.2	-0.3	0.3	-0.2	Rothia mucilaginosa	0.1	1.1	-0.2	6.0	-0.2	Rothia dentocariosa	1.0	Rothia dentocariosa	0.00253592561284869	0.008913980092111126
12	29	29	Bacteria	265	0.5	-0.3	1.2	-0.3	Paracoccus yeei	0.2	0.4	-0.3	5.5	-0.2	Paracoccus yeei	0.1	Paracoccus yeei	0.01014370245139476	0.008171148417768531
13	14	58	Bacteria	34072	0.2	-0.3	0.4	-0.3	Variovorax paradoxus	0.1	1.8	-0.3	4.3	-0.3	Variovorax paradoxus	0.5	Variovorax paradoxus	0.0033812341504649204	0.006388352399346307
14	15	2	Bacteria	57493	4.0	-0.1	5.7	-0.2	Kocuria palustris	2.1	1.2	-0.1	4.0	-0.2	Kocuria rhizophila	0.2	Kocuria palustris	0.048182586644125114	0.0059426533947407505
15	11	237	Bacteria	318147	0.1	-0.3	0.1	-0.3	Paucibacter sp. KCTC 42545	0.1	3.9	-0.3	3.9	-0.3	Paucibacter sp. KCTC 42545	0.1	Paucibacter sp. KCTC 42545	0.0008453085376162301	0.005794087059872232
16	13	47	Bacteria	1073	0.3	-0.3	0.3	-0.3	Rhodopseudomonas palustris	0.1	2.7	-0.3	3.7	-0.3	Rhodopseudomonas palustris	0.2	Rhodopseudomonas palustris	0.00253592561284869	0.005496954390135194
17	25	52	Bacteria	374	0.3	-0.3	1.9	-0.3	Bradyrhizobium japonicum	0.1	0.4	-0.3	3.6	-0.3	Bradyrhizobium erythrophlei	0.3	Bradyrhizobium erythrophlei	0.01606086221470837	0.005348388055266676
18	21	92	Bacteria	33882	0.2	-0.3	1.1	-0.4	Microbacterium aurum	0.1	0.5	0.1	3.2	-0.4	Microbacterium sp. XT11	0.1	Microbacterium sp. XT11	0.00929839391377853	0.004754122715792601
19	18	87	Bacteria	72763	0.2	-0.1	0.5	-0.2	Tessaracoccus flavescens	0.1	1.0	-0.0	2.5	0.0	Tessaracoccus flavescens	0.2	Tessaracoccus flavescens	0.00422654268808115	0.003714158371712969
20	26	27	Bacteria	43668	0.5	-0.2	1.1	-0.3	Brachybacterium faecium	0.1	0.4	-0.2	2.3	-0.2	Brachybacterium faecium	0.1	Brachybacterium faecium	0.00929839391377853	0.003417025701975931
21	17	177	Bacteria	570	0.1	-0.3	0.3	-0.3	Klebsiella pneumoniae	0.1	1.0	-0.3	2.2	-0.3	Klebsiella pneumoniae	6.3	Klebsiella pneumoniae	0.00253592561284869	0.003268459367107413
22	23	130	Bacteria	216851	0.1	-0.1	0.1	-0.1	Faecalibacterium prausnitzii	0.1	0.5	-0.1	1.7	-0.0	Faecalibacterium prausnitzii	4.0	Faecalibacterium prausnitzii	0.0008453085376162301	0.002525627692764819
23	33	32	Bacteria	68	0.4	-0.3	0.9	-0.3	Lysobacter enzymogenes	0.1	0.3	-0.2	1.7	-0.2	Lysobacter gummosus	0.1	Lysobacter gummosus	0.00760777683854607	0.002525627692764819
24	19	17	Bacteria	83618	0.7	-0.2	0.7	-0.3	Pseudoxanthomonas suwonensis	0.3	0.6	-0.3	1.5	-0.3	Pseudoxanthomonas suwonensis	0.1	Pseudoxanthomonas suwonensis	0.00591715976331361	0.0022284950230277815



----
./data/060618/rapid-response-007_reports/chrf_rna_0051_s51.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	1301	302.1	0.5	336.9	0.0	Streptococcus pneumoniae	185.5	59.7	-0.0	64.5	-0.2	Streptococcus pneumoniae	35.8	Streptococcus pneumoniae	0.9940985541457658	0.9188034188034188
1	3	267	Viruses	687332	0.0	-100.0	0.1	-0.0	Unnamed species taxon 2065036	0.0	0.9	1.3	2.5	1.7	TTV-like mini virus	3.6	TTV-like mini virus	0.0002950722927117144	0.03561253561253561
2	2	3	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.4	1.7	-0.1	1.8	-0.1	Escherichia coli	2.4	Escherichia coli	0.0005901445854234288	0.02564102564102564
3	4	5	Bacteria	1912216	0.2	-0.2	0.2	-0.2	Cutibacterium acnes	0.1	0.7	-0.2	0.7	-0.2	Cutibacterium acnes	0.8	Cutibacterium acnes	0.0005901445854234288	0.00997150997150997
4	5	1	Bacteria	40323	1.2	-0.3	1.5	-0.4	Stenotrophomonas maltophilia	0.5	0.6	-0.4	0.7	-0.4	Stenotrophomonas maltophilia	0.2	Stenotrophomonas maltophilia	0.004426084390675716	0.00997150997150997
5	1	4	Viruses	-200687329	0.2	0.3	0.0	0.0	Torque teno virus	0.3	44.6	95.0	0.0	0.0	Torque teno virus	36.9	Torque teno virus	0.0	0.0
6	6	432	Viruses	140410	0.0	100.0	0.0	1.3	Stenotrophomonas phage Smp131	0.0	0.0	0.0	0.0	0.0	0	0.0	Stenotrophomonas phage Smp131	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0052_s52.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	561	30094.8	89.3	30817.4	91.0	Escherichia coli	12068.4	1613.2	4.7	1784.0	5.1	Escherichia coli	1067.6	Escherichia coli	0.9908972524557486	0.9439652891687392
1	12	44	Bacteria	1301	0.1	-0.2	0.1	-0.2	Streptococcus pneumoniae	0.5	1.0	-0.2	16.6	-0.2	Streptococcus mitis	0.2	Streptococcus mitis	3.2153823893506544e-06	0.008783533520292082
2	2	34	Bacteria	1912216	0.3	-0.2	0.3	-0.2	Cutibacterium acnes	0.1	13.3	-0.2	14.3	-0.2	Cutibacterium acnes	21.6	Cutibacterium acnes	9.646147168051963e-06	0.007566537912058841
3	23	23	Bacteria	286	1.0	-0.2	1.4	-0.3	Pseudomonas aeruginosa	7.4	0.2	-0.3	13.0	-0.3	Pseudomonas fluorescens	0.2	Pseudomonas fluorescens	4.5015353450909154e-05	0.006878670829144401
4	3	1	Bacteria	590	77.9	18.1	79.8	18.3	Salmonella enterica	506.2	8.7	1.8	8.8	1.8	Salmonella enterica	42.1	Salmonella enterica	0.002565875146701822	0.00465633102280544
5	4	36	Bacteria	724	0.2	-0.2	0.4	-0.4	Haemophilus influenzae	8.7	5.9	-0.1	7.9	-0.2	[Haemophilus] ducreyi	0.5	[Haemophilus] ducreyi	1.2861529557402618e-05	0.00418011535001852
6	5	3	Bacteria	544	23.7	5.3	41.8	5.1	Citrobacter freundii	30.9	5.7	35.6	7.4	0.6	Citrobacter braakii	0.1	Citrobacter freundii	0.0013440298387485735	0.0039155510873591206
7	7	21	Bacteria	40323	1.0	-0.3	1.5	-0.4	Stenotrophomonas maltophilia	0.6	3.3	-0.3	5.4	-0.3	Stenotrophomonas maltophilia	1.9	Stenotrophomonas maltophilia	4.8230735840259816e-05	0.0028572940367215206
8	6	2	Bacteria	570	39.5	1.1	44.6	0.4	Klebsiella pneumoniae	239.2	3.6	-0.2	5.1	-0.2	Klebsiella pneumoniae	28.2	Klebsiella pneumoniae	0.0014340605456503919	0.00269855547912588
9	10	4	Bacteria	620	22.6	0.4	68.9	1.8	Shigella flexneri	190.7	2.1	-0.2	5.1	-0.1	Shigella flexneri	10.5	Shigella flexneri	0.002215398466262601	0.00269855547912588
10	8	9	Bacteria	547	4.4	0.4	9.6	-0.1	Enterobacter hormaechei	13.4	2.9	-0.1	4.8	-0.1	Enterobacter cloacae	3.7	Enterobacter hormaechei	0.0003086767093776628	0.00253981692153024
11	11	22	Bacteria	469	1.0	-0.1	2.8	-0.1	Acinetobacter baumannii	43.9	1.1	-0.2	4.8	-0.1	Acinetobacter johnsonii	0.3	Acinetobacter johnsonii	9.003070690181831e-05	0.00253981692153024
12	20	53	Bacteria	482	0.1	-0.3	0.2	-0.4	Neisseria meningitidis	0.2	0.2	-0.3	3.5	-0.2	Neisseria meningitidis	0.7	Neisseria meningitidis	6.430764778701309e-06	0.0018519498386158002
13	19	73	Bacteria	1763	0.1	-0.3	0.4	-0.3	Mycobacterium abscessus	0.1	0.3	-0.3	2.3	-0.3	Mycobacterium abscessus	8.8	Mycobacterium abscessus	1.2861529557402618e-05	0.00121699560823324
14	13	80	Bacteria	57493	0.1	-0.2	0.1	-0.2	Kocuria palustris	0.1	0.8	-0.2	1.8	-0.2	Kocuria palustris	0.4	Kocuria palustris	3.2153823893506544e-06	0.00095243134557384
15	14	5	Bacteria	629	19.7	99.0	20.6	57.5	Yersinia enterocolitica	90.6	0.7	7.9	1.0	2.4	Yersinia enterocolitica	2.3	Yersinia enterocolitica	0.0006623687722062348	0.0005291285253188001
16	31	82	Bacteria	283	0.1	-0.2	0.1	-0.2	Comamonas testosteroni	0.1	0.1	-0.3	0.7	-0.2	Comamonas aquatica	0.1	Comamonas aquatica	3.2153823893506544e-06	0.00037038996772316
17	17	70	Bacteria	586	0.1	1.1	0.3	1.8	Providencia rettgeri	2.9	0.4	7.0	0.6	3.7	Providencia stuartii	9.8	Providencia stuartii	9.646147168051963e-06	0.00031747711519128
18	29	20	Bacteria	1386	1.3	0.5	1.3	-0.3	Bacillus subtilis	0.1	0.1	0.0	0.6	-0.4	Bacillus sp. OxB-1	0.2	Bacillus subtilis	4.1799971061558506e-05	0.00031747711519128
19	15	8	Viruses	186789	4.8	100.0	7.6	100.0	Escherichia virus P1	5.1	0.5	100.0	0.5	100.0	Escherichia virus P1	0.4	Escherichia virus P1	0.0002443690615906497	0.00026456426265940005
20	16	96	Bacteria	581	0.1	0.4	0.2	0.5	Morganella morganii	1.0	0.4	1.6	0.4	1.5	Morganella morganii	0.1	Morganella morganii	6.430764778701309e-06	0.00021165141012752004
21	27	187	Viruses	687332	0.0	-100.0	0.0	-100.0	Torque teno mini virus ALH8	0.0	0.1	0.1	0.4	0.2	TTV-like mini virus	0.5	TTV-like mini virus	0.0	0.00021165141012752004
22	18	28	Bacteria	413496	0.4	0.7	0.8	0.4	Cronobacter sakazakii	8.2	0.3	0.4	0.3	0.0	Cronobacter sakazakii	1.3	Cronobacter sakazakii	2.5723059114805235e-05	0.00015873855759564
23	28	39	Bacteria	662	0.1	-0.0	0.2	-0.3	Vibrio cholerae	25.0	0.1	0.2	0.3	-0.1	Vibrio parahaemolyticus	14.4	Vibrio parahaemolyticus	6.430764778701309e-06	0.00015873855759564
24	33	78	Bacteria	1350	0.1	-0.2	0.1	-0.3	Enterococcus faecalis	0.2	0.1	-0.1	0.3	-0.3	Enterococcus gallinarum	0.2	Enterococcus gallinarum	3.2153823893506544e-06	0.00015873855759564



----
./data/060618/rapid-response-007_reports/chrf_rna_0061_s61.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	1301	405.6	0.7	445.0	0.1	Streptococcus pneumoniae	196.4	47.2	-0.1	74.2	-0.1	Streptococcus pneumoniae	45.4	Streptococcus pneumoniae	0.9966405375139977	0.8012958963282937
1	1	4	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.1	9.0	-0.1	10.4	-0.1	Escherichia coli	15.1	Escherichia coli	0.0004479283314669653	0.11231101511879049
2	2	3	Bacteria	1912216	0.3	-0.2	0.3	-0.2	Cutibacterium acnes	0.2	4.6	-0.2	5.1	-0.2	Cutibacterium acnes	7.9	Cutibacterium acnes	0.0006718924972004479	0.05507559395248379
3	3	2	Bacteria	40323	0.7	-0.4	1.0	-0.4	Stenotrophomonas maltophilia	0.3	2.2	-0.3	2.7	-0.3	Stenotrophomonas maltophilia	0.9	Stenotrophomonas maltophilia	0.0022396416573348264	0.02915766738660907
4	4	145	Viruses	10509	0.0	0.0	0.0	0.0	0	0.0	0.2	0.1	0.2	0.2	Human mastadenovirus C	0.1	Human mastadenovirus C	0.0	0.0021598272138228943
5	5	1	Viruses	-200	1.0	100.0	0.0	0.0	Streptococcus phage IPP36	0.0	0.0	0.0	0.0	0.0	0	0.0	Streptococcus phage IPP36	0.0	0.0
6	6	44	Viruses	-200010699	0.0	100.0	0.0	0.0	Streptococcus phage SpGS-1	0.0	0.0	0.0	0.0	0.0	0	0.0	Streptococcus phage SpGS-1	0.0	0.0
7	7	45	Viruses	-200010662	0.0	-100.0	0.0	0.0	Streptococcus phage EJ-1	0.0	0.0	0.0	0.0	0.0	0	0.0	Streptococcus phage EJ-1	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0062_s62.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	1301	44.8	-0.1	50.1	-0.2	Streptococcus pneumoniae	27.8	37.0	-0.1	40.9	-0.2	Streptococcus pneumoniae	22.0	Streptococcus pneumoniae	0.9747081712062255	0.7290552584670231
1	1	2	Bacteria	1912216	0.2	-0.2	0.2	-0.2	Cutibacterium acnes	0.1	7.2	-0.2	7.4	-0.2	Cutibacterium acnes	5.6	Cutibacterium acnes	0.003891050583657587	0.1319073083778966
2	3	144	Viruses	687332	0.0	-0.1	0.0	-0.1	TTV-like mini virus	0.0	2.6	4.0	4.7	3.3	TTV-like mini virus	3.2	TTV-like mini virus	0.0	0.08377896613190731
3	4	3	Bacteria	561	0.2	-0.1	0.2	-0.1	Escherichia coli	0.2	1.9	-0.1	2.1	-0.1	Escherichia coli	3.1	Escherichia coli	0.003891050583657587	0.03743315508021391
4	5	1	Bacteria	40323	0.7	-0.4	0.9	-0.4	Stenotrophomonas maltophilia	0.3	0.5	-0.4	0.7	-0.4	Stenotrophomonas maltophilia	0.2	Stenotrophomonas maltophilia	0.01750972762645914	0.0124777183600713
5	6	147	Viruses	687331	0.0	-100.0	0.0	-0.1	Torque teno virus 20	0.0	0.1	15.2	0.3	0.4	Torque teno virus 3	0.1	Torque teno virus 3	0.0	0.0053475935828877
6	2	201	Viruses	-200687329	0.0	-0.1	0.0	0.0	Torque teno virus	0.1	3.0	6.2	0.0	0.0	Torque teno virus	4.2	Torque teno virus	0.0	0.0
7	7	7	Viruses	10358	0.0	0.5	0.0	-0.1	Human betaherpesvirus 5	0.0	0.0	0.0	0.0	0.0	0	0.0	Human betaherpesvirus 5	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0063_s63.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	482	4691.2	99.0	5258.1	99.0	Neisseria meningitidis	2482.1	3177.4	99.0	3424.4	99.0	Neisseria meningitidis	1483.8	Neisseria meningitidis	0.9862327675138326	0.9857508851722846
1	2	1	Bacteria	1912216	13.2	-0.2	13.3	-0.2	Cutibacterium acnes	5.1	8.2	-0.2	8.5	-0.2	Cutibacterium acnes	6.0	Cutibacterium acnes	0.0024946075213354586	0.0024468176976884764
2	3	28	Bacteria	561	0.4	-0.1	0.4	-0.1	Escherichia coli	1.0	6.1	-0.1	6.7	-0.1	Escherichia coli	7.5	Escherichia coli	7.502579011535213e-05	0.0019286680675897404
3	6	5	Bacteria	1301	3.1	-0.2	3.9	-0.2	Streptococcus pneumoniae	2.1	2.0	-0.2	3.8	-0.2	Streptococcus pneumoniae	2.0	Streptococcus pneumoniae	0.0007315014536246832	0.0010938714413195542
4	12	6	Bacteria	286	2.1	-0.3	6.6	-0.3	Pseudomonas stutzeri	0.9	0.8	-0.4	3.2	-0.3	Pseudomonas stutzeri	0.4	Pseudomonas stutzeri	0.00123792553690331	0.0009211548979533089
5	16	21	Bacteria	407	0.5	-0.3	1.0	-0.3	Methylobacterium populi	0.3	0.6	-0.4	2.9	-0.3	Methylobacterium phyllosphaerae	0.1	Methylobacterium phyllosphaerae	0.00018756447528838033	0.0008347966262701861
6	5	2	Bacteria	570	7.2	-0.1	8.2	-0.2	Klebsiella pneumoniae	2.7	2.3	-0.3	2.7	-0.2	Klebsiella pneumoniae	1.2	Klebsiella pneumoniae	0.0015380286973647184	0.0007772244451481043
7	18	14	Bacteria	469	1.0	-0.1	3.9	-0.1	Acinetobacter junii	0.4	0.4	-0.1	2.6	-0.1	Acinetobacter junii	0.2	Acinetobacter junii	0.0007315014536246832	0.0007484383545870634
8	15	11	Bacteria	265	1.7	-0.3	3.6	-0.3	Paracoccus yeei	1.0	0.7	-0.3	2.4	-0.3	Paracoccus yeei	0.3	Paracoccus yeei	0.0006752321110381691	0.0006908661734649816
9	31	19	Bacteria	1716	0.6	-0.1	4.0	-0.3	Corynebacterium mycetoides	0.1	0.1	-0.3	2.1	-0.3	Corynebacterium stationis	0.1	Corynebacterium mycetoides	0.0007502579011535213	0.0006045079017818589
10	7	3	Bacteria	1269	6.2	-0.2	6.6	-0.2	Micrococcus luteus	2.8	1.8	-0.2	2.0	-0.2	Micrococcus luteus	0.7	Micrococcus luteus	0.00123792553690331	0.000575721811220818
11	9	8	Bacteria	40323	2.0	-0.3	2.8	-0.3	Stenotrophomonas maltophilia	1.0	1.5	-0.3	2.0	-0.4	Stenotrophomonas maltophilia	0.6	Stenotrophomonas maltophilia	0.0005251805308074648	0.000575721811220818
12	10	4	Bacteria	475	3.4	-0.2	3.4	-0.2	Moraxella osloensis	1.0	1.4	-0.2	1.6	-0.2	Moraxella osloensis	0.4	Moraxella osloensis	0.0006377192159804931	0.00046057744897665446
13	19	16	Bacteria	41275	0.9	-0.3	3.5	-0.3	Brevundimonas vesicularis	0.1	0.3	-0.1	1.6	-0.3	Brevundimonas diminuta	0.3	Brevundimonas vesicularis	0.0006564756635093311	0.00046057744897665446
14	8	7	Bacteria	590	2.1	0.2	2.1	0.2	Salmonella enterica	2.0	1.5	0.1	1.5	0.1	Salmonella enterica	3.6	Salmonella enterica	0.0003938853981055987	0.0004317913584156135
15	13	12	Bacteria	613	1.4	-0.1	2.2	-0.2	Serratia marcescens	0.6	0.7	-0.2	1.0	-0.3	Serratia marcescens	0.2	Serratia marcescens	0.0004126418456344367	0.000287860905610409
16	14	18	Bacteria	724	0.8	-0.1	1.0	-0.4	Haemophilus influenzae	0.5	0.7	-0.2	1.0	-0.4	Haemophilus influenzae	0.3	Haemophilus influenzae	0.00018756447528838033	0.000287860905610409
17	11	9	Bacteria	53457	2.0	100.0	2.1	-0.1	Janibacter indicus	0.9	0.8	100.0	0.8	-0.3	Janibacter indicus	0.1	Janibacter indicus	0.0003938853981055987	0.00023028872448832723
18	17	26	Bacteria	547	0.4	-0.1	0.8	-0.2	Enterobacter cloacae	0.2	0.5	-0.1	0.8	-0.2	Enterobacter cloacae	0.2	Enterobacter cloacae	0.00015005158023070425	0.00023028872448832723
19	22	24	Bacteria	1298	0.5	-0.0	1.1	-0.2	Deinococcus radiodurans	0.1	0.2	-0.3	0.6	-0.2	Deinococcus radiodurans	0.1	Deinococcus radiodurans	0.00020632092281721836	0.0001727165433662454
20	25	13	Bacteria	57493	1.4	-0.2	2.2	-0.2	Kocuria palustris	0.7	0.2	-0.2	0.5	-0.2	Kocuria palustris	0.1	Kocuria palustris	0.0004126418456344367	0.0001439304528052045
21	30	158	Bacteria	32008	0.1	-0.4	0.5	-0.3	Burkholderia cenocepacia	0.1	0.1	-0.4	0.3	-0.3	Burkholderia cenocepacia	0.1	Burkholderia cenocepacia	9.378223764419017e-05	8.63582716831227e-05
