sample_name,uploader,upload_date,runtime_seconds,overall_job_status,host_filtering_status,nonhost_alignment_status,postprocessing_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CHRF_RNA_0036_S36,,2018-03-25 17:51:14 -0700,1831.0,COMPLETE,LOADED,LOADED,LOADED,72872708,62864,0.086,56.772,1.33,Cerebrospinal fluid,RNA,Bangladesh,Human,"2 reads to Mumps, otherwise all background. 156 Months. April 2017. 1500 WBC, normal glucose, high protein. Left against advice, 10 days.
- Notes: All test negative
- mNGS result summary (RNA-Seq): There are 2 reads for mumps virus, z score 100. I would call it mumps cause it has no business being there! - should follow up on vaccination history.
- Admission date: 22-Apr-17
- Birth date: 5-Apr-04
- Age (months): 156
- TLC (mm3): 1500
- Polymorph %: 60
- Sugar (mg/dl): 45
- Protein (mg/dl): 160
- Volume  sent (ul): 570
- Outcome: DORB
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 10
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 2
- Position: 10"
CHRF_RNA_0037_S37,,2018-03-25 17:51:14 -0700,5393.0,COMPLETE,LOADED,LOADED,LOADED,95449142,9212,0.01,54.785,1.16,,RNA,,Human,"- Serotype: 14
- CT value from qPCR: 28.71
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of 0.2
- Admission date: 15-Feb-17
- Age (months): 60
- TLC (mm3): 5000
- Polymorph %: 90
- Sugar (mg/dl): 74
- Protein (mg/dl): 250
- Volume  sent (ul): 440
- Outcome: Discharged
- Provisional Diagnosis 1: Meningoencephalitis
- Hospital duration: 15
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 4"
CHRF_RNA_0038_S38,,2018-03-25 17:51:14 -0700,5559.0,COMPLETE,LOADED,LOADED,LOADED,131599198,57492,0.044,49.157,1.26,,RNA,,Human,"- Serotype: 23B
- CT value from qPCR: 29.65
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of 0.1
- Admission date: 19-Mar-16
- Birth date: 13-Aug-09
- Age (months): 79
- TLC (mm3): 4800
- Polymorph %: 80
- Sugar (mg/dl): 18
- Protein (mg/dl): 300
- Volume  sent (ul): 280
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 10
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 12"
CHRF_RNA_0039_S39,,2018-03-25 17:51:14 -0700,1726.0,COMPLETE,LOADED,LOADED,LOADED,88964960,47550,0.053,37.712,1.36,,RNA,,Human,"- Serotype: NTD
- CT value from qPCR: 34.1
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of -0.8
- Admission date: 3-Sep-16
- Birth date: 28-Apr-16
- Age (months): 4
- TLC (mm3): 950
- Polymorph %: 85
- Sugar (mg/dl): 35
- Protein (mg/dl): 70
- Volume  sent (ul): 500
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 9
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 20"
CHRF_RNA_0040_S40,,2018-03-25 17:51:14 -0700,2025.0,COMPLETE,LOADED,LOADED,LOADED,85263302,282996,0.332,25.434,3.72,,RNA,,Human,"- Serotype: 35B
- CT value from qPCR: 36
- mNGS result summary (RNA-Seq): Streptococcus does have high reads with z score of 3.2, so above background. But would I pick it up had I not known?
- Admission date: 14-Dec-17
- Birth date: 2-Mar-17
- Age (months): 9
- TLC (mm3): 280
- Polymorph %: 15
- Sugar (mg/dl): 70
- Protein (mg/dl): 160
- Volume  sent (ul): 310
- Outcome: Discharged
- Provisional Diagnosis 1: Severe pneumonia
- Hospital duration: 12
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 28"
CHRF_RNA_0041_S41,,2018-03-25 17:51:14 -0700,1894.0,COMPLETE,LOADED,LOADED,LOADED,125053116,104932,0.084,40.386,4.4,Cerebrospinal fluid,RNA,Bangladesh,Human,"Klebsiella, 6 months old born 2012, culture positive for Klebsiella, 250WBCs, discharged after 76 days
- mNGS result summary (RNA-Seq): Klebsiella with a z score of 9.9 definitely stands out, but wondering why nr is -0.6.
- Admission date: 12-Sep-12
- Birth date: 28-Feb-12
- Age (months): 6
- TLC (mm3): 250
- Polymorph %: 50
- Sugar (mg/dl): 12
- Protein (mg/dl): 300
- Volume  sent (ul): 750
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 76
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 36"
CHRF_RNA_0042_S42,,2018-03-25 17:51:14 -0700,1370.0,COMPLETE,LOADED,LOADED,LOADED,56269302,88386,0.157,38.903,3.16,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 10-Oct-14
- Birth date: 6-Oct-14
- Age (months): 0
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 40
- Protein (mg/dl): 20
- Volume  sent (ul): 260
- Outcome: Discharged
- Provisional Diagnosis 1: Severe perinatal asphyxia/perinatal asphyxia
- Hospital duration: 4
- Drug 1: Inj. Cefpodoxime
- Box : 1
- Position: 44"
CHRF_RNA_0043_S43,,2018-03-25 17:51:15 -0700,1282.0,COMPLETE,LOADED,LOADED,LOADED,58224438,311660,0.535,58.254,3.76,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 5-Feb-15
- Birth date: 1-Sep-14
- Age (months): 5
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 72
- Protein (mg/dl): 20
- Volume  sent (ul): 280
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 2
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 52"
CHRF_RNA_0044_S44,,2018-03-25 17:51:15 -0700,1619.0,COMPLETE,LOADED,LOADED,LOADED,74679170,126652,0.17,40.655,3.83,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 14-Feb-18
- Birth date: 11-Nov-15
- Age (months): 27
- TLC (mm3): 2
- Polymorph %: 0
- Sugar (mg/dl): 68
- Protein (mg/dl): 20
- Volume  sent (ul): 560
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 60"
CHRF_RNA_0045_S45,,2018-03-25 17:51:15 -0700,2942.0,COMPLETE,LOADED,LOADED,LOADED,50455298,80706,0.16,40.975,3.1,,RNA,,Human,"- Notes: water - W/B-08,15
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Volume  sent (ul): 920
- Box : 1
- Position: 68"
CHRF_RNA_0046_S46,,2018-03-25 17:51:15 -0700,690.0,COMPLETE,LOADED,LOADED,LOADED,42195836,158576,0.376,50.858,2.73,Cerebrospinal fluid,RNA,Bangladesh,Human,"Neisseria meningitidis 10 month old, 160 WBC, high-ish protein, left at 4 days against advice. Jan 2018
- Notes: All test negative
- mNGS result summary (RNA-Seq): Unresolved. Nothing appears to be of significance here. 
- Admission date: 25-Jan-18
- Birth date: 27-Nov-17
- Age (months): 1
- TLC (mm3): 160
- Polymorph %: 80
- Sugar (mg/dl): 40
- Protein (mg/dl): 70
- Volume  sent (ul): 510
- Outcome: DORB
- Provisional Diagnosis 1: Pneumonia/bronchopneumonia
- Hospital duration: 4
- Drug 1: Inj. Ampicillin
- Box : 1
- Position: 76"
CHRF_RNA_0047_S47,,2018-03-25 17:51:15 -0700,1330.0,COMPLETE,LOADED,LOADED,LOADED,57593626,54800,0.095,48.08,2.33,,RNA,,Human,"- Notes: All test negative
- mNGS result summary (RNA-Seq): Unresolved. Nothing appears to be of significance here. 
- Admission date: 4-Sep-17
- Birth date: 8-Apr-16
- Age (months): 16
- TLC (mm3): 2600
- Polymorph %: 90
- Sugar (mg/dl): 35
- Protein (mg/dl): 400
- Volume  sent (ul): 490
- Outcome: Died
- Provisional Diagnosis 1: Acute respiratory infection (ARI)/Respiratory tract infection (RTI)
- Hospital duration: 5
- Drug 1: Inj. Amoxycillin
- Box : 2
- Position: 3"
CHRF_RNA_0048_S48,,2018-03-25 17:51:15 -0700,3015.0,COMPLETE,LOADED,LOADED,LOADED,77389688,62590,0.081,74.161,23.98,Cerebrospinal fluid,RNA,Bangladesh,Human,"No findings.  2 month old. CSH June 2017, 3800 WBC. Very high protein. Discharged after 35 days.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Unresolved. Nothing appears to be of significance here. 
- Admission date: 4-Jun-17
- Age (months): 2
- TLC (mm3): 3800
- Polymorph %: 80
- Sugar (mg/dl): 15
- Protein (mg/dl): 400
- Volume  sent (ul): 360
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 35
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 2
- Position: 11"
CHRF_RNA_0049_S49,,2018-03-25 17:51:15 -0700,2762.0,COMPLETE,LOADED,LOADED,LOADED,63460278,72664,0.115,41.637,2.16,,RNA,,Human,"- Serotype: 29
- CT value from qPCR: 26.52
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of 0.6
- Admission date: 2-Sep-17
- Birth date: 25-Apr-09
- Age (months): 100
- TLC (mm3): 2000
- Polymorph %: 80
- Sugar (mg/dl): 30
- Protein (mg/dl): 800
- Volume  sent (ul): 340
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 14
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 5"
CHRF_RNA_0050_S50,,2018-03-25 17:51:15 -0700,1471.0,COMPLETE,LOADED,LOADED,LOADED,71994986,231934,0.322,41.893,2.86,,RNA,,Human,"- Serotype: 20
- CT value from qPCR: 31.78
- mNGS result summary (RNA-Seq): Spn is not an obvious pathogen here - Spn has a z score of 2.6
- Admission date: 15-Mar-16
- Age (months): 6
- TLC (mm3): 140
- Polymorph %: 70
- Sugar (mg/dl): 65
- Protein (mg/dl): 150
- Volume  sent (ul): 390
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 2
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 13"
CHRF_RNA_0051_S51,,2018-03-25 17:51:15 -0700,5705.0,COMPLETE,LOADED,LOADED,LOADED,150000000,42228,0.028,56.611,1.29,,RNA,,Human,"- Serotype: 3
- CT value from qPCR: 21.29
- mNGS result summary (RNA-Seq): Yes - with z score of 9.5 and 64 rpm, Spn is the likely pathogen. 
- Admission date: 13-May-16
- Birth date: 26-Jan-16
- Age (months): 3
- TLC (mm3): 6500
- Polymorph %: 90
- Sugar (mg/dl): 15
- Protein (mg/dl): 200
- Volume  sent (ul): 600
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 12
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 21"
CHRF_RNA_0052_S52,,2018-03-25 17:51:15 -0700,1445.0,COMPLETE,LOADED,LOADED,LOADED,70250230,212176,0.302,49.999,3.43,,RNA,,Human,"E.coli, very high level.  Culture positive for e.coli.  6k WBC, prot >600, gluc < low.  Treated successfully
- mNGS result summary (RNA-Seq): E. coli has a lot of reads here; however the z score of only 2.2. While I know that this is culture positive for E. coli and it is easy for me to call it the pathogen here, how do we account for E. coli reads in our negative sample 0089? There ar e 8 reads from parechovirus also with z score of 100.
- Admission date: 29-Oct-17
- Birth date: 2-Jul-17
- Age (months): 3
- TLC (mm3): 6000
- Polymorph %: 90
- Sugar (mg/dl): 10
- Protein (mg/dl): 600
- Volume  sent (ul): 220
- Outcome: Discharged
- Provisional Diagnosis 1: Septicaemia/sepsis
- Hospital duration: 21
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 29"
CHRF_RNA_0053_S53,,2018-03-25 17:51:15 -0700,1271.0,COMPLETE,LOADED,LOADED,LOADED,46124002,83482,0.181,36.33,3.23,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing significant/pathogenic is obvious here. Highest score if 3282 by Kocuria palustris with z score 3.7. Kocuria is a common contaminant we see in the lab. 
- Admission date: 19-Jul-14
- Birth date: 14-Jul-13
- Age (months): 12
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 44
- Protein (mg/dl): 15
- Volume  sent (ul): 500
- Outcome: Discharged
- Provisional Diagnosis 1: Urinary tract infection (UTI)
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 37"
CHRF_RNA_0054_S54,,2018-03-25 17:51:15 -0700,1941.0,COMPLETE,LOADED,LOADED,LOADED,109272300,127002,0.116,28.857,4.13,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 30-Oct-14
- Birth date: 15-Oct-13
- Age (months): 12
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 74
- Protein (mg/dl): 25
- Volume  sent (ul): 990
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 45"
CHRF_RNA_0055_S55,,2018-03-25 17:51:15 -0700,965.0,COMPLETE,LOADED,LOADED,LOADED,65419488,115050,0.176,48.032,4.29,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 1-Feb-18
- Birth date: 1-Jul-14
- Age (months): 43
- TLC (mm3): 4
- Polymorph %: 0
- Sugar (mg/dl): 70
- Protein (mg/dl): 20
- Volume  sent (ul): 835
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 53"
CHRF_RNA_0056_S56,,2018-03-25 17:51:15 -0700,1332.0,COMPLETE,LOADED,LOADED,LOADED,58958602,100272,0.17,30.899,4.64,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 16-Feb-18
- Birth date: 29-Jul-16
- Age (months): 18
- TLC (mm3): 2
- Polymorph %: 0
- Sugar (mg/dl): 75
- Protein (mg/dl): 20
- Volume  sent (ul): 1000
- Outcome: Discharged
- Provisional Diagnosis 1: Seizure disorder
- Hospital duration: 6
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 61"
CHRF_RNA_0057_S57,,2018-03-25 17:51:15 -0700,1285.0,COMPLETE,LOADED,LOADED,LOADED,50024148,95218,0.19,34.818,3.58,,RNA,,Human,"- Notes: water - W/B-02,37
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Volume  sent (ul): 1000
- Box : 1
- Position: 69"
CHRF_RNA_0058_S58,,2018-03-25 17:51:15 -0700,1210.0,COMPLETE,LOADED,LOADED,LOADED,65072802,34314,0.053,33.137,1.2,,RNA,,Human,"Tiny amount of MTb. Unclear.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Mycobacterium tuberculosis has a z score of 29.4, but nr is -0.2; it has 6.1 rpm - not sure of the significance. Will follow up with PCR. 
- Admission date: 16-Dec-17
- Birth date: 25-Jul-04
- Age (months): 160
- TLC (mm3): 360
- Polymorph %: 80
- Sugar (mg/dl): 40
- Protein (mg/dl): 200
- Volume  sent (ul): 360
- Outcome: DORB
- Provisional Diagnosis 1: ICSOL/ Intracranial space occupying lessions
- Hospital duration: 15
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 77"
CHRF_RNA_0059_S59,,2018-03-25 17:51:15 -0700,3606.0,COMPLETE,LOADED,LOADED,LOADED,85986872,1362544,1.585,70.96,3.42,Cerebrospinal fluid,RNA,Bangladesh,Human,"Stenotrophomonas sp. > 800k reads.  4 months old, 120 WBC, high protein, discharged after 28 days. 2017.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Stenotrophomonaas maltophilia with z score of 99 and highest reads >12000 rpm is the like pathogen. Acinetobacter baumannii with z score of 22 anf second highest reads al may be of significance. It woul dbe interesting to see the AMR patterns of these bacteria and relate that to outcome.
- Admission date: 19-Aug-17
- Birth date: 15-Apr-17
- Age (months): 4
- TLC (mm3): 120
- Polymorph %: 80
- Sugar (mg/dl): 36
- Protein (mg/dl): 300
- Volume  sent (ul): 280
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 28
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 2
- Position: 4"
CHRF_RNA_0060_S60,,2018-03-25 17:51:15 -0700,1687.0,COMPLETE,LOADED,LOADED,LOADED,81192516,193074,0.238,47.046,3.67,,RNA,,Human,"- Notes: All test negative
- mNGS result summary (RNA-Seq): Unresolved. Nothing appears to be of significance here. 
- Admission date: 3-Jun-17
- Birth date: 3-Jan-17
- Age (months): 4
- TLC (mm3): 84
- Polymorph %: 70
- Sugar (mg/dl): 40
- Protein (mg/dl): 150
- Volume  sent (ul): 540
- Outcome: DORB
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 11
- Drug 1: Inj. Meropenum/ Inj. Ropenam
- Box : 2
- Position: 12"
CHRF_RNA_0061_S61,,2018-03-25 17:51:15 -0700,5416.0,COMPLETE,LOADED,LOADED,LOADED,102545870,74388,0.073,42.956,1.51,,RNA,,Human,"- Serotype: 15A/F
- CT value from qPCR: 21.5
- mNGS result summary (RNA-Seq): Spn has the highest reads with z score of 9.6
- Admission date: 3-Apr-17
- Birth date: 8-Nov-16
- Age (months): 4
- TLC (mm3): 32000
- Polymorph %: 90
- Sugar (mg/dl): 36
- Protein (mg/dl): 300
- Volume  sent (ul): 300
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 26
- Drug 1: Inj. Ciprofloxacin
- Box : 1
- Position: 6"
CHRF_RNA_0062_S62,,2018-03-25 17:51:15 -0700,6622.0,COMPLETE,LOADED,LOADED,LOADED,150000000,47112,0.031,37.56,1.31,,RNA,,Human,"- Serotype: 33F
- CT value from qPCR: 23.82
- mNGS result summary (RNA-Seq): Spn has the highest reads (rpm) and z score of 5.3 - the likely pathogen.
- Admission date: 6-May-16
- Birth date: 11-Jul-15
- Age (months): 9
- TLC (mm3): 2500
- Polymorph %: 90
- Sugar (mg/dl): 40
- Protein (mg/dl): 250
- Volume  sent (ul): 650
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 12
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 14"
CHRF_RNA_0063_S63,,2018-03-25 17:51:15 -0700,1898.0,COMPLETE,LOADED,LOADED,LOADED,83295482,338442,0.406,34.666,1.25,Cerebrospinal fluid,RNA,Bangladesh,Human,"Neisseria meningitidis, >220k reads, TTV, WBC 2400, July 2016, high protein, 40 month old, discharged after 9 days. Serotype B.
- Serotype: B
- CT value from qPCR: 33.04
- mNGS result summary (RNA-Seq): neisseria meningitidis has the highest reads, with z score of 99 - it is defintiely the pathogen. 
- Admission date: 22-Jul-16
- Birth date: 19-Mar-13
- Age (months): 40
- TLC (mm3): 2400
- Polymorph %: 90
- Sugar (mg/dl): 18
- Protein (mg/dl): 200
- Volume  sent (ul): 500
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 9
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 22"
CHRF_RNA_0064_S64,,2018-03-25 17:51:15 -0700,1688.0,COMPLETE,LOADED,LOADED,LOADED,71227742,308236,0.433,28.973,1.42,Cerebrospinal fluid,RNA,Bangladesh,Human,"Streptococcus pneumoniae, >160k reads. Culture Positive for Strept. pneumoniae.  24k WBC.  81 month old. Cipro treated, discharged after 12 days.  Serotype 39.
- Serotype: 39
- mNGS result summary (RNA-Seq): With z score of 99 and highest reads, no doubt that this is Streptococcus pneumoniae.
- Admission date: 4-Jun-16
- Birth date: 13-Aug-09
- Age (months): 81
- TLC (mm3): 24000
- Polymorph %: 95
- Sugar (mg/dl): 10
- Protein (mg/dl): 1000
- Volume  sent (ul): 600
- Outcome: Discharged
- Provisional Diagnosis 1: Meningoencephalitis
- Hospital duration: 12
- Drug 1: Inj. Ciprofloxacin
- Box : 1
- Position: 30"
CHRF_RNA_0065_S65,,2018-03-25 17:51:15 -0700,1249.0,COMPLETE,LOADED,LOADED,LOADED,44707958,182912,0.409,39.995,3.61,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing significant here; rheinheimera score of 50,899 and z score of 5.8 but not a known pathogen; ineterestingly acinetobacteria has a high score of 35203 and z score of 5.7 - however most reads come from junii and not baumannii. 
- Admission date: 23-Jul-14
- Birth date: 12-Nov-13
- Age (months): 8
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 64
- Protein (mg/dl): 20
- Volume  sent (ul): 600
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 2
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 38"
CHRF_RNA_0066_S66,,2018-03-25 17:51:15 -0700,1334.0,COMPLETE,LOADED,LOADED,LOADED,57896582,95220,0.164,33.361,3.75,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 21-Nov-14
- Birth date: 27-Jun-13
- Age (months): 16
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 58
- Protein (mg/dl): 25
- Volume  sent (ul): 420
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 46"
CHRF_RNA_0067_S67,,2018-03-25 17:51:15 -0700,1597.0,COMPLETE,LOADED,LOADED,LOADED,66072270,158258,0.24,30.611,4.97,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 2-Feb-18
- Birth date: 3-Oct-15
- Age (months): 28
- TLC (mm3): 2
- Polymorph %: 0
- Sugar (mg/dl): 55
- Protein (mg/dl): 20
- Volume  sent (ul): 665
- Outcome: Discharged
- Provisional Diagnosis 1: Febrile convulsion/Atypical febrile convulsion
- Hospital duration: 3
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 54"
CHRF_RNA_0068_S68,,2018-03-25 17:51:15 -0700,1324.0,COMPLETE,LOADED,LOADED,LOADED,58263836,81770,0.14,31.28,4.58,,RNA,,Human,"- Notes: Negative / 0 - 6 WBC
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Admission date: 16-Feb-18
- Birth date: 16-Jun-17
- Age (months): 8
- TLC (mm3): 0
- Polymorph %: 0
- Sugar (mg/dl): 72
- Protein (mg/dl): 20
- Volume  sent (ul): 450
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 2
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 1
- Position: 62"
CHRF_RNA_0069_S69,,2018-03-25 17:51:15 -0700,1725.0,COMPLETE,LOADED,LOADED,LOADED,45846480,59750,0.13,34.431,4.27,Cerebrospinal fluid,RNA,,Human,"Maybe low levels of Cryptococcus
- Notes: water - W/B-01,01
- mNGS result summary (RNA-Seq): Nothing appears to be of significance here. 
- Volume  sent (ul): 500
- Box : 1
- Position: 70"
CHRF_RNA_0070_S70,,2018-03-25 17:51:15 -0700,1230.0,COMPLETE,LOADED,LOADED,LOADED,69060574,98978,0.143,40.129,1.64,Cerebrospinal fluid,RNA,Bangladesh,Human,"Bacillus cereus, 12 days old neonate, 2017, 12000 WBCs, high protein, low sugar, discharged after 15 days. Mystery Case.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Bacillus is very likely to be the causative agent here with z score of 29.2 and very high reads. There is report from Pabna, bangladesh of anthrax outbreak. There is a case report of bacillus cereus causing meningitis  in an immunocompromised woman and this child was only 0 months old. 
- Admission date: 8-Dec-17
- Birth date: 2-Dec-17
- Age (months): 0
- TLC (mm3): 12000
- Polymorph %: 95
- Sugar (mg/dl): 18
- Protein (mg/dl): 500
- Volume  sent (ul): 450
- Outcome: Discharged
- Provisional Diagnosis 1: Septicaemia/sepsis
- Hospital duration: 15
- Drug 1: Inj. Ceftazidime/ Inj. Tazid
- Box : 1
- Position: 78"
CHRF_RNA_0071_S71,,2018-03-25 17:51:15 -0700,4647.0,COMPLETE,LOADED,LOADED,LOADED,58234020,85112,0.146,21.304,2.03,Cerebrospinal fluid,RNA,Bangladesh,Human,"Chikungunya virus >11k reads. Mystery Case - June 2017, 180 WBC, high protein high glucose, discharged after 6 days. 1 month old.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Chikungunya virus with z score of 99 and highest reads is the likely pathogen. Follow up on neurodevelopment of the kids. Get the sample back to Dhaka as a positive control for testing more CSF samples for Chick. 
- Admission date: 14-Jun-17
- Birth date: 24-Apr-17
- Age (months): 1
- TLC (mm3): 180
- Polymorph %: 80
- Sugar (mg/dl): 55
- Protein (mg/dl): 250
- Volume  sent (ul): 450
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 6
- Drug 1: Inj. Ceftazidime/ Inj. Tazid
- Box : 2
- Position: 5"
CHRF_RNA_0072_S72,,2018-03-25 17:51:15 -0700,4871.0,COMPLETE,LOADED,LOADED,LOADED,150000000,89218,0.059,35.675,1.98,Cerebrospinal fluid,RNA,Bangladesh,Human,"TTV, small amount of CMV. Reads blast true.  3 month old, 900 WBC, very high protein. discharged after 44 days.
- Notes: All test negative
- mNGS result summary (RNA-Seq): Unresolved. Nothing appears to be of significance here. 
- Admission date: 23-May-17
- Birth date: 4-Feb-17
- Age (months): 3
- TLC (mm3): 900
- Polymorph %: 60
- Sugar (mg/dl): 24
- Protein (mg/dl): 300
- Volume  sent (ul): 820
- Outcome: Discharged
- Provisional Diagnosis 1: Meningitis
- Hospital duration: 44
- Drug 1: Inj. Ceftriaxone/ Inj. Ceftizone/ Inj. Ceftron
- Box : 2
- Position: 13"
